filename,unique_im,stim_pos_name,stim_pos,super_cat_name,super_cat,basic_cat_name,basic_cat,sub_cat_name,sub_cat,affordance_name,affordance_cat,is_specialcore,is_lure
shared0790_nsd56949.png,81,center,3,human,1,indoor,1,left,1,observe,4,0,0
shared0426_nsd31748.png,82,center,3,human,1,outdoor,2,left,1,walk,3,1,0
shared0341_nsd26120.png,83,center,3,human,1,indoor,1,center,2,greet,1,0,0
shared0968_nsd70194.png,84,center,3,human,1,outdoor,2,center,2,greet,1,1,0
shared0030_nsd04424.png,85,center,3,human,1,indoor,1,right,3,greet,1,1,0
shared0277_nsd22524.png,86,center,3,human,1,outdoor,2,right,3,greet,1,0,0
shared0358_nsd27243.png,87,center,3,animal,2,indoor,1,left,1,greet,1,0,0
shared0334_nsd25703.png,88,center,3,animal,2,outdoor,2,left,1,observe,4,1,0
shared0557_nsd42127.png,89,center,3,animal,2,indoor,1,center,2,greet,1,0,0
shared0269_nsd22139.png,90,center,3,animal,2,outdoor,2,center,2,observe,4,1,0
shared0474_nsd35987.png,91,center,3,animal,2,indoor,1,right,3,greet,1,1,0
shared0042_nsd05107.png,92,center,3,animal,2,outdoor,2,right,3,observe,4,0,0
shared0692_nsd50654.png,93,center,3,object,3,indoor,1,left,1,grasp,2,1,0
shared0194_nsd16345.png,94,center,3,object,3,outdoor,2,left,1,walk,3,0,0
shared0045_nsd05302.png,95,center,3,object,3,indoor,1,center,2,grasp,2,1,0
shared0988_nsd71754.png,96,center,3,object,3,outdoor,2,center,2,observe,4,0,0
shared0377_nsd28342.png,97,center,3,object,3,indoor,1,right,3,grasp,2,0,0
shared0937_nsd68024.png,98,center,3,object,3,outdoor,2,right,3,walk,3,1,0
shared0930_nsd67238.png,99,center,3,food,4,indoor,1,left,1,grasp,2,0,0
shared0516_nsd39059.png,100,center,3,food,4,outdoor,2,left,1,grasp,2,1,0
shared0867_nsd62961.png,101,center,3,food,4,indoor,1,center,2,grasp,2,1,0
shared0725_nsd52932.png,102,center,3,food,4,outdoor,2,center,2,grasp,2,0,0
shared0854_nsd61973.png,103,center,3,food,4,indoor,1,right,3,grasp,2,1,0
shared0452_nsd33814.png,104,center,3,food,4,outdoor,2,right,3,observe,4,0,0
shared0674_nsd49077.png,105,center,3,place,5,indoor,1,left,1,walk,3,0,0
shared0380_nsd28488.png,106,center,3,place,5,outdoor,2,left,1,observe,4,1,0
shared0926_nsd67046.png,107,center,3,place,5,indoor,1,center,2,walk,3,1,0
shared0005_nsd03147.png,108,center,3,place,5,outdoor,2,center,2,walk,3,0,0
shared0130_nsd10908.png,109,center,3,place,5,indoor,1,right,3,walk,3,0,0
shared0495_nsd37737.png,110,center,3,place,5,outdoor,2,right,3,walk,3,1,0
shared0790_nsd56949/easy_add.png,431,center,3,human,1,indoor,1,left,1,observe,4,0,0
shared0790_nsd56949/hard_add.png,432,center,3,human,1,indoor,1,left,1,observe,4,0,0
shared0790_nsd56949/easy_remove.png,433,center,3,human,1,indoor,1,left,1,observe,4,0,0
shared0790_nsd56949/hard_remove.png,434,center,3,human,1,indoor,1,left,1,observe,4,0,0
shared0426_nsd31748/easy_add.png,435,center,3,human,1,outdoor,2,left,1,walk,3,0,0
shared0426_nsd31748/hard_add.png,436,center,3,human,1,outdoor,2,left,1,walk,3,0,0
shared0426_nsd31748/easy_remove.png,437,center,3,human,1,outdoor,2,left,1,walk,3,0,0
shared0426_nsd31748/hard_remove.png,438,center,3,human,1,outdoor,2,left,1,walk,3,0,0
shared0341_nsd26120/easy_add.png,439,center,3,human,1,indoor,1,center,2,greet,1,0,0
shared0341_nsd26120/hard_add.png,440,center,3,human,1,indoor,1,center,2,greet,1,0,0
shared0341_nsd26120/easy_remove.png,441,center,3,human,1,indoor,1,center,2,greet,1,0,0
shared0341_nsd26120/hard_remove.png,442,center,3,human,1,indoor,1,center,2,greet,1,0,0
shared0968_nsd70194/easy_add.png,443,center,3,human,1,outdoor,2,center,2,greet,1,0,0
shared0968_nsd70194/hard_add.png,444,center,3,human,1,outdoor,2,center,2,greet,1,0,0
shared0968_nsd70194/easy_remove.png,445,center,3,human,1,outdoor,2,center,2,greet,1,0,0
shared0968_nsd70194/hard_remove.png,446,center,3,human,1,outdoor,2,center,2,greet,1,0,0
shared0030_nsd04424/easy_add.png,447,center,3,human,1,indoor,1,right,3,greet,1,0,0
shared0030_nsd04424/hard_add.png,448,center,3,human,1,indoor,1,right,3,greet,1,0,0
shared0030_nsd04424/easy_remove.png,449,center,3,human,1,indoor,1,right,3,greet,1,0,0
shared0030_nsd04424/hard_remove.png,450,center,3,human,1,indoor,1,right,3,greet,1,0,0
shared0277_nsd22524/easy_add.png,451,center,3,human,1,outdoor,2,right,3,greet,1,0,0
shared0277_nsd22524/hard_add.png,452,center,3,human,1,outdoor,2,right,3,greet,1,0,0
shared0277_nsd22524/easy_remove.png,453,center,3,human,1,outdoor,2,right,3,greet,1,0,0
shared0277_nsd22524/hard_remove.png,454,center,3,human,1,outdoor,2,right,3,greet,1,0,0
shared0358_nsd27243/easy_add.png,455,center,3,animal,2,indoor,1,left,1,greet,1,0,0
shared0358_nsd27243/hard_add.png,456,center,3,animal,2,indoor,1,left,1,greet,1,0,0
shared0358_nsd27243/easy_remove.png,457,center,3,animal,2,indoor,1,left,1,greet,1,0,0
